recordid,address,house_number,street,zip_original,cb_original,site,species,diameter,status,wires,sidewalk_condition,support_structure,borough,x,y,longitude,latitude,cb_new,zip_new,censustract_2010,censusblock_2010,nta_2010,segmentid,spc_common,spc_latin,location
428355,156-047 58 RD,156-047,58 RD,11355,407,Side,ACPL,22,Good,None,Good,None,Queens,1,1,1,1,0,0,Unknown,Unknown,Unknown,0,MAPLE NORWAY,ACER PLATANOIDES,(1 1)
115493,1776 STERLING PL,1776,STERLING PL,11233,216,Front,PS,0,Planting Space,None,Good,None,Brooklyn,1006488.23,183702.7651,-73.919834,40.67087,316,11233,361,3000,BK79,9007294,PLANTING SITE,PLANTING SITE,(40.67087 -73.919834)
177416,7201 8 AV,7201,8 AV,11228,210,Side,QUPA,13,Excellent,None,Good,None,Brooklyn,979629.0201,168319.9601,-74.016648,40.628675,310,11228,132,2004,BK30,17379,OAK PIN,QUERCUS PALUSTRIS,(40.628675 -74.016648)
467260,93 WASHINGTON AV,93,WASHINGTON AV,10314,502,Front,PS,0,Planting Space,None,Good,None,Staten Island,946498.0033,157840.4225,-74.135947,40.599831,502,10314,27302,1006,SI05,8032,PLANTING SITE,PLANTING SITE,(40.599831 -74.135947)
119077,1712 E 2 ST,1712,E 2 ST,11223,215,Front,ACPL,9,Good,None,Good,None,Brooklyn,992106.8154,160729.4092,-73.971704,40.607838,315,11223,422,3002,BK25,26723,MAPLE NORWAY,ACER PLATANOIDES,(40.607838 -73.971704)
336509,28-070 COLLEGE PT CAUSEWY,28-070,COLLEGE PT CAUSEWY,11354,407,Front,ACPL,3,Unknown,None,Good,Stakes / Wires,Queens,1027527.635,220317.03,-73.843754,40.77129,0,0,Unknown,Unknown,Unknown,0,MAPLE NORWAY,ACER PLATANOIDES,(40.77129 -73.843754)
261825,133-025 128 ST,133-025,128 ST,11420,410,Side,QUPA,8,Good,None,Good,None,Queens,1036596.839,183521.4932,-73.811298,40.670246,410,11420,818,3007,QN55,55281,OAK PIN,QUERCUS PALUSTRIS,(40.670246 -73.811298)
379968,137-006 BEDELL ST,137-006,BEDELL ST,11413,412,Across,PYCA,3,Poor,Yes,Good,Stakes / Wires,Queens,1049818.927,184750.5416,-73.763622,40.673531,412,11413,330,1004,QN02,115857,PEAR CALLERY,PYRUS CALLERYANA,(40.673531 -73.763622)
55675,3272 RADIO DR,3272,RADIO DR,10465,110,Side,ACRU,29,Good,Yes,Good,None,Bronx,1034445.197,246638.5601,-73.818583,40.843498,210,10465,27402,3006,BX10,94849,MAPLE RED,ACER RUBRUM,(40.843498 -73.818583)
476602,15 CROFT CT,15,CROFT CT,10306,503,Front,ACRU,4,Excellent,None,Good,None,Staten Island,945404.6844,143933.0529,-74.139804,40.561654,503,10306,14606,3001,SI54,6916,MAPLE RED,ACER RUBRUM,(40.561654 -74.139804)
